	DISEASE/TRAIT	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	SNP_GENE_IDS	SNPS	P-VALUE	OR or BETA
99013	Colorectal cancer or advanced adenoma	13q34	13	110423534	NR	COL4A2	ENSG00000134871	rs8000189	2E-9	1.06
99014	Colorectal cancer or advanced adenoma	17q24.3	17	72417112	NR	LINC00511	ENSG00000227036	rs983318	6E-9	1.06
99018	Colorectal cancer or advanced adenoma	12q12	12	42740389	NR	LINC02450 - AC068802.1		rs11610543	1E-9	1.05
99020	Colorectal cancer or advanced adenoma	1p32.3	1	54780362	NR	TTC22	ENSG00000006555	rs12144319	3E-11	1.07
99022	Colorectal cancer or advanced adenoma	5q15	5	98870378	NR	CHD1	ENSG00000153922	rs145364999	6E-9	1.74
99023	Colorectal cancer or advanced adenoma	9p21.3	9	22103184	NR	CDKN2B-AS1	ENSG00000240498	rs1537372	1E-8	1.05
99026	Colorectal cancer or advanced adenoma	19p13.11	19	16306387	NR	AC020911.2	ENSG00000267275	rs34797592	4E-10	1.09
99027	Colorectal cancer or advanced adenoma	1p34.3	1	37990219	NR	SF3A3 - RNU6-510P		rs4360494	4E-9	1.05
99098	Colorectal cancer	13q22.1	13	73075014	NR	KLF5	ENSG00000102554	rs45597035	2E-10	1.08
99099	Colorectal cancer	13q34	13	110422568	NR	COL4A2	ENSG00000134871	rs7993934	3E-11	1.08
99100	Colorectal cancer	20q13.13	20	48723580	NR	PREX1	ENSG00000124126	rs6066825	4E-17	1.1
99101	Colorectal cancer	7p12.3	7	47471563	NR	TNS3	ENSG00000136205	rs3801081	2E-11	1.08
99102	Colorectal cancer	19q13.2	19	41367096	NR	TMEM91, AC011462.2	ENSG00000142046, ENSG00000268475	rs9797885	3E-10	1.08
99103	Colorectal cancer	20q13.12	20	44031646	NR	TOX2	ENSG00000124191	rs2179593	5E-9	1.07
99104	Colorectal cancer	12q13.3	12	57147065	NR	LRP1, LRP1-AS	ENSG00000123384, ENSG00000259125	rs7398375	4E-10	1.09
99105	Colorectal cancer	15q22.31	15	66715475	NR	SMAD6	ENSG00000137834	rs4776316	1E-8	1.08
99106	Colorectal cancer	17p12	17	10803924	NR	AC015908.6, AC015908.7, TMEM238L, TMEM220-AS1	ENSG00000284876, ENSG00000285220, ENSG00000263429, ENSG00000263400	rs1078643	4E-11	1.09
99108	Colorectal cancer	15q13.3	15	32864185	NR	FMN1, FMN1	ENSG00000248905, ENSG00000282513	rs17816465	1E-14	1.11
99109	Colorectal cancer	16q24.1	16	86666424	NR	AC009154.1	ENSG00000261161	rs899244	1E-10	1.09
99110	Colorectal cancer	13q13.3	13	36886511	NR	SMAD9	ENSG00000120693	rs12427600	5E-11	1.09
99111	Colorectal cancer	20q13.13	20	50768208	NR	PARD6B - BCAS4		rs6091213	4E-10	1.08
99112	Colorectal cancer	16q23.2	16	79973369	NR	LINC01228 - AC092130.1		rs61336918	2E-12	1.09
99114	Colorectal cancer	20q13.33	20	63685277	NR	RTEL1, RTEL1-TNFRSF6B	ENSG00000258366, ENSG00000026036	rs3787089	6E-9	1.07
99115	Colorectal cancer	5q31.1	5	135132061	NR	C5orf66, AC008406.2	ENSG00000224186, ENSG00000248753	rs639933	1E-9	1.07
99116	Colorectal cancer	20p12.3	20	6712481	NR	CASC20 - LINC01713		rs6085661	2E-14	1.09
99118	Colorectal cancer	4q31.21	4	144700176	NR	HHIP, AC098588.1, AC098588.2	ENSG00000164161, ENSG00000285713, ENSG00000285783	rs75686861	2E-9	1.12
99120	Colorectal cancer	15q26.1	15	90629669	NR	CRTC3, CRTC3-AS1	ENSG00000140577, ENSG00000259736	rs7495132	8E-10	1.11
99121	Colorectal cancer	12p13.31	12	6302870	NR	ATP5MFP5 - PLEKHG6		rs10849438	1E-10	1.12
99122	Colorectal cancer	1p32.3	1	54782179	NR	TTC22	ENSG00000006555	rs12143541	9E-10	1.1
99123	Colorectal cancer	20p12.3	20	7737398	NR	RN7SL547P - AL031679.1		rs6055286	1E-10	1.11
99124	Colorectal cancer	11p15.4	11	10265208	NR	SBF2	ENSG00000133812	rs4450168	1E-8	1.1
99125	Colorectal cancer	12p13.32	12	4266925	NR	CCND2-AS1	ENSG00000255920	rs12818766	2E-9	1.1
99126	Colorectal cancer	20q13.13	20	50364133	NR	LINC01271 - RN7SL636P		rs4811050	2E-11	1.1
99128	Colorectal cancer	1p34.3	1	37995647	NR	RNU6-510P - FHL3		rs61776719	2E-10	1.07
99129	Colorectal cancer	2q33.1	2	198737201	NR	AC019330.1	ENSG00000225421	rs11893063	9E-9	1.07
99130	Colorectal cancer	6p24.1	6	12292539	NR	EDN1	ENSG00000078401	rs2070699	4E-9	1.07
99131	Colorectal cancer	7p12.3	7	46887097	NR	EPS15P1 - AC004870.4		rs10951878	1E-8	1.06
99132	Colorectal cancer	9p21.3	9	22110132	NR	CDKN2B-AS1	ENSG00000240498	rs1412834	4E-14	1.08
99133	Colorectal cancer	19q13.33	19	48715345	NR	MAMSTR	ENSG00000176909	rs12979278	6E-10	1.07
99134	Colorectal cancer	2q33.1	2	199266972	NR	RNU7-147P - SATB2		rs7593422	4E-11	1.07
99135	Colorectal cancer	3p21.1	3	53054269	NR	AC096887.1	ENSG00000272305	rs9831861	4E-10	1.07
99136	Colorectal cancer	10q22.3	10	79059375	NR	ZMIZ1-AS1	ENSG00000224596	rs704017	3E-16	1.1
99137	Colorectal cancer	3q13.2	3	113198071	NR	AC078785.1 - BOC		rs12635946	1E-11	1.08
99145	Colorectal cancer	5p15.33	5	1240883	NR	SLC6A18	ENSG00000164363	rs77776598	8E-9	1.14
99146	Colorectal cancer	15q13.3	15	32700910	NR	SCG5 - AC090877.2		rs16969681	3E-27	1.22
99147	Colorectal cancer	10q25.2	10	112535133	NR	VTI1A	ENSG00000151532	rs12255141	3E-9	1.11
99188	Colorectal cancer	12q24.21	12	115453598	NR	AC078880.2 - AC009803.2		rs7315438	1E-11	1.08
99189	Colorectal cancer	13q13.2	13	33464043	NR	AL139383.1	ENSG00000230490	rs9537521	7E-9	1.08
99190	Colorectal cancer	14q22.2	14	53952388	NR	BMP4	ENSG00000125378	rs35107139	1E-13	1.09
99191	Colorectal cancer	15q13.3	15	32720301	NR	GREM1, GREM1	ENSG00000166923, ENSG00000282046	rs73376930	7E-35	1.18
99193	Colorectal cancer	18q21.1	18	48927678	NR	SMAD7	ENSG00000101665	rs7226855	6E-71	1.21
99194	Colorectal cancer	19q13.11	19	33034013	NR	RHPN2	ENSG00000131941	rs73039434	2E-18	1.3
99195	Colorectal cancer	20q13.33	20	62357358	NR	LAMA5	ENSG00000130702	rs1741640	2E-28	1.16
99196	Colorectal cancer	Xp22.2	X	9795858	NR	SHROOM2	ENSG00000146950	rs2732875	8E-12	1.18
99198	Colorectal cancer	5p15.33	5	1296371	NR	TERT - MIR4457		rs2735940	1E-11	1.08
99200	Colorectal cancer	8q24.21	8	127401060	NR	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	2E-57	1.19
99201	Colorectal cancer	1p36.12	1	22261235	NR	AL445253.1 - MIR4418		rs72647484	2E-10	1.13
99202	Colorectal cancer	20p12.3	20	6423634	NR	AL109618.3 - CASC20		rs961253	5E-20	1.11
99203	Colorectal cancer	1q25.3	1	183056420	NR	LAMC1	ENSG00000135862	rs4546885	1E-14	1.09
99204	Colorectal cancer	1q41	1	221876478	NR	LINC01655 - LINC02257		rs6658977	1E-12	1.08
99205	Colorectal cancer	2q35	2	218319713	NR	PNKD	ENSG00000127838	rs13020391	2E-13	1.09
99206	Colorectal cancer	3p22.1	3	40873748	NR	AC099560.1 - AC099541.1		rs35470271	2E-9	1.09
99208	Colorectal cancer	4q24	4	105127134	NR	AC096577.1 - AC004069.1		rs17035289	3E-10	1.1
99209	Colorectal cancer	6p21.1	6	41705031	NR	TFEB	ENSG00000112561	rs6933790	4E-10	1.1
99210	Colorectal cancer	17p13.3	17	913501	NR	NXN	ENSG00000167693	rs73975588	9E-9	1.1
99211	Colorectal cancer	13q22.3	13	78035480	NR	RNF219-AS1, LINC00446	ENSG00000234377, ENSG00000229249	rs1330889	7E-10	1.11
99212	Colorectal cancer	2q11.2	2	97658891	NR	ACTR1B	ENSG00000115073	rs11692435	1E-8	1.12
99213	Colorectal cancer	6q21	6	105519019	NR	AL096794.1	ENSG00000286084	rs6928864	1E-8	1.13
99214	Colorectal cancer	11q13.4	11	74704207	NR	CHRDL2	ENSG00000054938	rs4944940	1E-20	1.31
99215	Colorectal cancer	8q23.3	8	116618444	NR	AC105177.1 - EIF3H		rs16892766	1E-35	1.26
99216	Colorectal cancer	20q13.13	20	50440951	NR	RN7SL636P - COX6CP2		rs1810502	2E-10	1.07
99218	Colorectal cancer	5p13.1	5	40280100	NR	RNU1-150P - AC093277.1		rs1445011	1E-17	1.11
99219	Colorectal cancer	6p21.31	6	35601785	NR	FKBP5	ENSG00000096060	rs16878812	2E-9	1.11
99220	Colorectal cancer	6p21.2	6	36655347	NR	RNU1-88P - RF00019		rs1321310	6E-11	1.09
99221	Colorectal cancer	6p12.1	6	55847326	NR	BMP5	ENSG00000112175	rs62404966	3E-9	1.08
99222	Colorectal cancer	10p14	10	8692798	NR	RNA5SP299 - AL355333.1		rs7894531	4E-24	1.13
99223	Colorectal cancer	10q24.2	10	99586852	NR	NKX2-3 - SLC25A28		rs2193352	2E-15	1.11
99224	Colorectal cancer	11q13.4	11	74627310	NR	POLD3	ENSG00000077514	rs57796856	4E-16	1.09
99225	Colorectal cancer	11q23.1	11	111286111	NR	C11orf53	ENSG00000150750	rs3087967	6E-33	1.15
99226	Colorectal cancer	12q13.12	12	50823107	NR	ATF1 - RN7SL519P		rs11169572	6E-14	1.09
99227	Colorectal cancer	12q24.12	12	111535554	NR	ATXN2	ENSG00000204842	rs597808	8E-15	1.09
101228	Colorectal cancer	2p16.3	2	48459556	PPP1R21	PPP1R21	ENSG00000162869	rs7606562	1E-8	1.1
101229	Colorectal cancer	3q22.2	3	134029945	SLCO2A1	SLCO2A1	ENSG00000174640	rs113569514	2E-12	1.1
101231	Colorectal cancer	6p22.1	6	29842083	HLA-G	AL645929.3		rs1476570	7E-9	1.12
101234	Colorectal cancer	12q12	12	42736822	PRICKLE1	LINC02450 - AC068802.1		rs2730985	1E-8	1.08
101235	Colorectal cancer	13q22.1	13	73412491	KLF5, KLF12	MARK2P12 - LINC00393		rs1886450	6E-12	1.09
101236	Colorectal cancer	16q23.2	16	80005724	WWOX, MAF	LINC01228 - AC092130.1		rs4341754	2E-9	1.09
101237	Colorectal cancer	17p12	17	10803924	PIRT	AC015908.6, AC015908.7, TMEM238L, TMEM220-AS1	ENSG00000284876, ENSG00000285220, ENSG00000263429, ENSG00000263400	rs1078643	8E-13	1.13
101249	Colorectal cancer	10q24.2	10	99530544	NKX2-3	LINC01475	ENSG00000257582	rs6584283	1E-10	1.09
101250	Colorectal cancer	18q21.1	18	48924606	SMAD7	SMAD7	ENSG00000101665	rs7229639	2E-27	1.21
101251	Colorectal cancer	5q31.1	5	135163402	PITX1	C5orf66	ENSG00000224186	rs647161	3E-15	1.12
101252	Colorectal cancer	10q25.2	10	112967084	TCF7L2	TCF7L2	ENSG00000148737	rs11196172	3E-15	1.12
101253	Colorectal cancer	8q23.3	8	116611854	EIF3H	AC105177.1 - EIF3H		rs2450115	2E-14	1.11
101254	Colorectal cancer	11q12.2	11	61785208	MYRF	TMEM258, MYRF	ENSG00000134825, ENSG00000124920	rs174537	8E-12	1.1
101255	Colorectal cancer	10q25.2	10	112520943	VTI1A	VTI1A	ENSG00000151532	rs12241008	2E-11	1.11
101256	Colorectal cancer	8q23.3	8	116635549	EIF3H	AC105177.1 - EIF3H		rs6469656	2E-10	1.09
101257	Colorectal cancer	20p12.3	20	7831703	HAO1	RN7SL547P - AL031679.1		rs2423279	3E-10	1.1
101628	Colorectal cancer	20p12.3	20	6718948	BMP2	CASC20 - LINC01713		rs4813802	1E-8	1.1
101638	Colorectal cancer	10q22.3	10	79059375	ZMIZ1	ZMIZ1-AS1	ENSG00000224596	rs704017	1E-9	1.09
101639	Colorectal cancer	12p13.32	12	4259186	CCND2	CCND2-AS1	ENSG00000255920	rs10774214	3E-9	1.09
101643	Colorectal cancer	8q24.21	8	127401060	POU5F1B	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	1E-31	1.17
101644	Colorectal cancer	10p14	10	8659256	GATA3	RNA5SP299 - AL355333.1		rs10795668	5E-24	1.14
101645	Colorectal cancer	18q21.1	18	48927093	SMAD7	SMAD7	ENSG00000101665	rs4939827	5E-15	1.13
101646	Colorectal cancer	20q13.13	20	48723580	PREX1	PREX1	ENSG00000124126	rs6066825	4E-11	1.1
101647	Colorectal cancer	15q13.3	15	32700910	SCG5	SCG5 - AC090877.2		rs16969681	1E-8	1.08
142521	Colorectal cancer	8q24.21	8	127401060	CCAT2	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	7E-12	
142532	Colorectal cancer	15q13.3	15	32709533	SCG5GREM1	SCG5 - AC090877.2		rs58658771	1E-10	
142533	Colorectal cancer	18q21.1	18	48922435	SMAD7	SMAD7	ENSG00000101665	rs6507874	2E-14	
